QUEST_LV_0500_20190419_000001	Eu preferiria ter alguém para fazer isso,{nl}caso seja algo absolutamente necessário.{nl}Por que tem que ser eu?
QUEST_LV_0500_20190419_000002	Os demônios e os monstros ainda estão em grande número...{nl}Pelo menos não precisamos nos preocupar com roubos.{nl}Isso se conseguirmos sair dessa vivos.
QUEST_LV_0500_20190419_000003	Você patrulha alguns dias e tem que fazer um relatório enorme!{nl}Será que podemos fazer algo de concreto nesse estado?
QUEST_LV_0500_20190419_000004	Estou aqui para ajudar Tadas.{nl}Não vim pra limpar a bagunça do Wolke.
QUEST_LV_0500_20190419_000005	Eu enganei cartas e previni que ele roubasse a Semente da Árvore Divina.{nl}Se eu puder me libertar destes selos, poderia me recuperar por mim mesma.
QUEST_LV_0500_20190419_000006	Por que Kartas iria tão longe a ponto de me manter presa nesta barreira...{nl}Será que conhece de fato as propriedades desta semente...?
QUEST_LV_0500_20190419_000007	Vou procurar a senhorita Neringa assim que eu melhorar.{nl}Tenho certeza que ela saberá como resgatar a Mestre Medeina do Kartas.
QUEST_LV_0500_20190419_000008	Revelador!{nl}Tem uma barreira maligna ao redor da floresta, o local é perigoso!{nl}Por favor, você precisa sair o quanto antes!
QUEST_LV_0500_20190419_000009	Estamos presas dentro da barreira posta pelo Kartas,{nl}sem contar que os poderes da Mestre Medeina não são suficientes para quebrá-la.{nl}Precisamos ajudar a Deusa a recuperar a sua força...
QUEST_LV_0500_20190419_000010	Se o Kartas nos encontrar, estaremos em grande perigo.{nl}Por favor, ajude a Mestre Medeina a se recuperar!
QUEST_LV_0500_20190419_000011	Fico feliz que a Ilona está a salvo, apesar da barreira.{nl}Revelador, por favor ache um jeito de desativar a barreira.
QUEST_LV_0500_20190419_000012	Vá cmoa Ilona e encontre a Mestre Medeina!
QUEST_LV_0500_20190419_000013	As pegadas dela terminam aqui.{nl}Devemos olhar dentro deste local?
QUEST_LV_0500_20190419_000014	Ah, estou tão feliz que a Mestre Medeina está bem!{nl}Aquele círculo mágico de teleporte precisa ser destruído...
QUEST_LV_0500_20190419_000015	Revelador, por favor destrua o círculo mágico.{nl}Esta deve ser a nossa única chance, enquanto o Kartas não está.
QUEST_LV_0500_20190419_000016	A barreira da Mestre Medeina está finalmente desfeita!{nl}Devemos nos apressar agora...
QUEST_LV_0500_20190419_000017	Sobrecarregar o segundo círculo mágico funcionou!
QUEST_LV_0500_20190419_000018	Ah... Mestre Medeina...
QUEST_LV_0500_20190419_000019	Ela...
QUEST_LV_0500_20190419_000020	Não pude impedir...
QUEST_LV_0500_20190419_000021	Apesar da Mestre Medeina ter sido levada pelo Kartas...{nl}A sua ajuda será sempre lembrada, Revelador.{nl}
